name,shape,parameters,trainable,category
backbone.backbone.enc.enc1.block1.cpe.0.bias,[96],96,True,3D convolution in CPE
backbone.backbone.enc.enc1.block1.cpe.1.weight,"[96, 96]",9216,True,CPE linear + norm
backbone.backbone.enc.enc1.block1.cpe.1.bias,[96],96,True,CPE linear + norm
backbone.backbone.enc.enc1.block1.cpe.2.weight,[96],96,True,CPE linear + norm
backbone.backbone.enc.enc1.block1.cpe.2.bias,[96],96,True,CPE linear + norm
backbone.backbone.enc.enc1.block1.norm1.0.weight,[96],96,True,Attention/MLP norms
backbone.backbone.enc.enc1.block1.norm1.0.bias,[96],96,True,Attention/MLP norms
backbone.backbone.enc.enc1.block1.attn.qkv.weight,"[288, 96]",27648,True,Attention QKV + projection
backbone.backbone.enc.enc1.block1.attn.qkv.bias,[288],288,True,Attention QKV + projection
backbone.backbone.enc.enc1.block1.attn.proj.weight,"[96, 96]",9216,True,Attention QKV + projection
backbone.backbone.enc.enc1.block1.attn.proj.bias,[96],96,True,Attention QKV + projection
backbone.backbone.enc.enc1.block1.norm2.0.weight,[96],96,True,Attention/MLP norms
backbone.backbone.enc.enc1.block1.norm2.0.bias,[96],96,True,Attention/MLP norms
backbone.backbone.enc.enc1.block1.mlp.0.fc1.weight,"[384, 96]",36864,True,Block feed-forward MLP
backbone.backbone.enc.enc1.block1.mlp.0.fc1.bias,[384],384,True,Block feed-forward MLP
backbone.backbone.enc.enc1.block1.mlp.0.fc2.weight,"[96, 384]",36864,True,Block feed-forward MLP
backbone.backbone.enc.enc1.block1.mlp.0.fc2.bias,[96],96,True,Block feed-forward MLP
backbone.backbone.enc.enc1.block1.t_mlp.weight,"[96, 3]",288,True,Time conditioning
backbone.backbone.enc.enc1.block1.t_mlp.bias,[96],96,True,Time conditioning
backbone.backbone.enc.enc2.down.proj.weight,"[128, 96]",12288,True,Stem + pool/unpool
backbone.backbone.enc.enc2.down.proj.bias,[128],128,True,Stem + pool/unpool
backbone.backbone.enc.enc2.block0.cpe.0.weight,"[128, 3, 3, 3, 128]",442368,True,3D convolution in CPE
backbone.backbone.enc.enc2.block0.cpe.0.bias,[128],128,True,3D convolution in CPE
backbone.backbone.enc.enc2.block0.cpe.1.weight,"[128, 128]",16384,True,CPE linear + norm
backbone.backbone.enc.enc2.block0.cpe.1.bias,[128],128,True,CPE linear + norm
backbone.backbone.enc.enc2.block0.cpe.2.weight,[128],128,True,CPE linear + norm
backbone.backbone.enc.enc2.block0.cpe.2.bias,[128],128,True,CPE linear + norm
backbone.backbone.enc.enc2.block0.norm1.0.weight,[128],128,True,Attention/MLP norms
backbone.backbone.enc.enc2.block0.norm1.0.bias,[128],128,True,Attention/MLP norms
backbone.backbone.enc.enc2.block0.attn.qkv.weight,"[384, 128]",49152,True,Attention QKV + projection
backbone.backbone.enc.enc2.block0.attn.qkv.bias,[384],384,True,Attention QKV + projection
backbone.backbone.enc.enc2.block0.attn.proj.weight,"[128, 128]",16384,True,Attention QKV + projection
backbone.backbone.enc.enc2.block0.attn.proj.bias,[128],128,True,Attention QKV + projection
backbone.backbone.enc.enc2.block0.norm2.0.weight,[128],128,True,Attention/MLP norms
backbone.backbone.enc.enc2.block0.norm2.0.bias,[128],128,True,Attention/MLP norms
backbone.backbone.enc.enc2.block0.mlp.0.fc1.weight,"[512, 128]",65536,True,Block feed-forward MLP
backbone.backbone.enc.enc2.block0.mlp.0.fc1.bias,[512],512,True,Block feed-forward MLP
backbone.backbone.enc.enc2.block0.mlp.0.fc2.weight,"[128, 512]",65536,True,Block feed-forward MLP
backbone.backbone.enc.enc2.block0.mlp.0.fc2.bias,[128],128,True,Block feed-forward MLP
backbone.backbone.enc.enc2.block0.t_mlp.weight,"[128, 3]",384,True,Time conditioning
backbone.backbone.enc.enc2.block0.t_mlp.bias,[128],128,True,Time conditioning
backbone.backbone.enc.enc2.block1.cpe.0.weight,"[128, 3, 3, 3, 128]",442368,True,3D convolution in CPE
backbone.backbone.enc.enc2.block1.cpe.0.bias,[128],128,True,3D convolution in CPE
backbone.backbone.enc.enc2.block1.cpe.1.weight,"[128, 128]",16384,True,CPE linear + norm
backbone.backbone.enc.enc2.block1.cpe.1.bias,[128],128,True,CPE linear + norm
backbone.backbone.enc.enc2.block1.cpe.2.weight,[128],128,True,CPE linear + norm
backbone.backbone.enc.enc2.block1.cpe.2.bias,[128],128,True,CPE linear + norm
backbone.backbone.enc.enc2.block1.norm1.0.weight,[128],128,True,Attention/MLP norms
backbone.backbone.enc.enc2.block1.norm1.0.bias,[128],128,True,Attention/MLP norms
backbone.backbone.enc.enc2.block1.attn.qkv.weight,"[384, 128]",49152,True,Attention QKV + projection
backbone.backbone.enc.enc2.block1.attn.qkv.bias,[384],384,True,Attention QKV + projection
backbone.backbone.enc.enc2.block1.attn.proj.weight,"[128, 128]",16384,True,Attention QKV + projection
backbone.backbone.enc.enc2.block1.attn.proj.bias,[128],128,True,Attention QKV + projection
backbone.backbone.enc.enc2.block1.norm2.0.weight,[128],128,True,Attention/MLP norms
backbone.backbone.enc.enc2.block1.norm2.0.bias,[128],128,True,Attention/MLP norms
backbone.backbone.enc.enc2.block1.mlp.0.fc1.weight,"[512, 128]",65536,True,Block feed-forward MLP
backbone.backbone.enc.enc2.block1.mlp.0.fc1.bias,[512],512,True,Block feed-forward MLP
backbone.backbone.enc.enc2.block1.mlp.0.fc2.weight,"[128, 512]",65536,True,Block feed-forward MLP
backbone.backbone.enc.enc2.block1.mlp.0.fc2.bias,[128],128,True,Block feed-forward MLP
backbone.backbone.enc.enc2.block1.t_mlp.weight,"[128, 3]",384,True,Time conditioning
backbone.backbone.enc.enc2.block1.t_mlp.bias,[128],128,True,Time conditioning
